date,total,accept,badge,comment,post,review,revision,suggest
1218300503,0,0,0,0,0,0,0,0
1218905303,0,0,0,0,0,0,0,0
1219510103,0,0,0,0,0,0,0,0
1220114903,0,0,0,0,0,0,0,0
1220719703,0,0,0,0,0,0,0,0
1221324503,0,0,0,0,0,0,0,0
1221929303,0,0,0,0,0,0,0,0
1222534103,0,0,0,0,0,0,0,0
1223138903,0,0,0,0,0,0,0,0
1223743703,0,0,0,0,0,0,0,0
1224348503,0,0,0,0,0,0,0,0
1224953303,0,0,0,0,0,0,0,0
1225558103,0,0,0,0,0,0,0,0
1226162903,0,0,0,0,0,0,0,0
1226767703,0,0,0,0,0,0,0,0
1227372503,0,0,0,0,0,0,0,0
1227977303,0,0,0,0,0,0,0,0
1228582103,0,0,0,0,0,0,0,0
1229186903,0,0,0,0,0,0,0,0
1229791703,0,0,0,0,0,0,0,0
1230396503,0,0,0,0,0,0,0,0
1231001303,0,0,0,0,0,0,0,0
1231606103,0,0,0,0,0,0,0,0
1232210903,0,0,0,0,0,0,0,0
1232815703,0,0,0,0,0,0,0,0
1233420503,0,0,0,0,0,0,0,0
1234025303,0,0,0,0,0,0,0,0
1234630103,0,0,0,0,0,0,0,0
1235234903,0,0,0,0,0,0,0,0
1235839703,0,0,0,0,0,0,0,0
1236444503,0,0,0,0,0,0,0,0
1237049303,0,0,0,0,0,0,0,0
1237654103,0,0,0,0,0,0,0,0
1238258903,0,0,0,0,0,0,0,0
1238863703,0,0,0,0,0,0,0,0
1239468503,0,0,0,0,0,0,0,0
1240073303,0,0,0,0,0,0,0,0
1240678103,0,0,0,0,0,0,0,0
1241282903,0,0,0,0,0,0,0,0
1241887703,0,0,0,0,0,0,0,0
1242492503,0,0,0,0,0,0,0,0
1243097303,0,0,0,0,0,0,0,0
1243702103,0,0,0,0,0,0,0,0
1244306903,0,0,0,0,0,0,0,0
1244911703,0,0,0,0,0,0,0,0
1245516503,0,0,0,0,0,0,0,0
1246121303,0,0,0,0,0,0,0,0
1246726103,0,0,0,0,0,0,0,0
1247330903,0,0,0,0,0,0,0,0
1247935703,0,0,0,0,0,0,0,0
1248540503,0,0,0,0,0,0,0,0
1249145303,0,0,0,0,0,0,0,0
1249750103,0,0,0,0,0,0,0,0
1250354903,0,0,0,0,0,0,0,0
1250959703,0,0,0,0,0,0,0,0
1251564503,0,0,0,0,0,0,0,0
1252169303,0,0,0,0,0,0,0,0
1252774103,0,0,0,0,0,0,0,0
1253378903,0,0,0,0,0,0,0,0
1253983703,0,0,0,0,0,0,0,0
1254588503,0,0,0,0,0,0,0,0
1255193303,0,0,0,0,0,0,0,0
1255798103,0,0,0,0,0,0,0,0
1256402903,0,0,0,0,0,0,0,0
1257007703,0,0,0,0,0,0,0,0
1257612503,0,0,0,0,0,0,0,0
1258217303,0,0,0,0,0,0,0,0
1258822103,0,0,0,0,0,0,0,0
1259426903,0,0,0,0,0,0,0,0
1260031703,0,0,0,0,0,0,0,0
1260636503,0,0,0,0,0,0,0,0
1261241303,0,0,0,0,0,0,0,0
1261846103,0,0,0,0,0,0,0,0
1262450903,0,0,0,0,0,0,0,0
1263055703,0,0,0,0,0,0,0,0
1263660503,0,0,0,0,0,0,0,0
1264265303,0,0,0,0,0,0,0,0
1264870103,0,0,0,0,0,0,0,0
1265474903,0,0,0,0,0,0,0,0
1266079703,0,0,0,0,0,0,0,0
1266684503,0,0,0,0,0,0,0,0
1267289303,0,0,0,0,0,0,0,0
1267894103,0,0,0,0,0,0,0,0
1268498903,0,0,0,0,0,0,0,0
1269103703,0,0,0,0,0,0,0,0
1269708503,0,0,0,0,0,0,0,0
1270313303,0,0,0,0,0,0,0,0
1270918103,0,0,0,0,0,0,0,0
1271522903,0,0,0,0,0,0,0,0
1272127703,0,0,0,0,0,0,0,0
1272732503,0,0,0,0,0,0,0,0
1273337303,0,0,0,0,0,0,0,0
1273942103,0,0,0,0,0,0,0,0
1274546903,0,0,0,0,0,0,0,0
1275151703,0,0,0,0,0,0,0,0
1275756503,0,0,0,0,0,0,0,0
1276361303,0,0,0,0,0,0,0,0
1276966103,0,0,0,0,0,0,0,0
1277570903,0,0,0,0,0,0,0,0
1278175703,0,0,0,0,0,0,0,0
1278780503,0,0,0,0,0,0,0,0
1279385303,0,0,0,0,0,0,0,0
1279990103,0,0,0,0,0,0,0,0
1280594903,0,0,0,0,0,0,0,0
1281199703,0,0,0,0,0,0,0,0
1281804503,0,0,0,0,0,0,0,0
1282409303,0,0,0,0,0,0,0,0
1283014103,0,0,0,0,0,0,0,0
1283618903,0,0,0,0,0,0,0,0
1284223703,0,0,0,0,0,0,0,0
1284828503,0,0,0,0,0,0,0,0
1285433303,0,0,0,0,0,0,0,0
1286038103,0,0,0,0,0,0,0,0
1286642903,0,0,0,0,0,0,0,0
1287247703,0,0,0,0,0,0,0,0
1287852503,0,0,0,0,0,0,0,0
1288457303,0,0,0,0,0,0,0,0
1289062103,0,0,0,0,0,0,0,0
1289666903,0,0,0,0,0,0,0,0
1290271703,0,0,0,0,0,0,0,0
1290876503,0,0,0,0,0,0,0,0
1291481303,0,0,0,0,0,0,0,0
1292086103,0,0,0,0,0,0,0,0
1292690903,0,0,0,0,0,0,0,0
1293295703,0,0,0,0,0,0,0,0
1293900503,0,0,0,0,0,0,0,0
1294505303,0,0,0,0,0,0,0,0
1295110103,0,0,0,0,0,0,0,0
1295714903,0,0,0,0,0,0,0,0
1296319703,0,0,0,0,0,0,0,0
1296924503,0,0,0,0,0,0,0,0
1297529303,0,0,0,0,0,0,0,0
1298134103,0,0,0,0,0,0,0,0
1298738903,0,0,0,0,0,0,0,0
1299343703,0,0,0,0,0,0,0,0
1299948503,0,0,0,0,0,0,0,0
1300553303,0,0,0,0,0,0,0,0
1301158103,0,0,0,0,0,0,0,0
1301762903,0,0,0,0,0,0,0,0
1302367703,0,0,0,0,0,0,0,0
1302972503,0,0,0,0,0,0,0,0
1303577303,0,0,0,0,0,0,0,0
1304182103,0,0,0,0,0,0,0,0
1304786903,0,0,0,0,0,0,0,0
1305391703,0,0,0,0,0,0,0,0
1305996503,0,0,0,0,0,0,0,0
1306601303,0,0,0,0,0,0,0,0
1307206103,0,0,0,0,0,0,0,0
1307810903,0,0,0,0,0,0,0,0
1308415703,0,0,0,0,0,0,0,0
1309020503,0,0,0,0,0,0,0,0
1309625303,0,0,0,0,0,0,0,0
1310230103,0,0,0,0,0,0,0,0
1310834903,0,0,0,0,0,0,0,0
1311439703,0,0,0,0,0,0,0,0
1312044503,0,0,0,0,0,0,0,0
1312649303,0,0,0,0,0,0,0,0
1313254103,0,0,0,0,0,0,0,0
1313858903,1,0,0,0,1,0,0,0
1314463703,0,0,0,0,0,0,0,0
1315068503,0,0,0,0,0,0,0,0
1315673303,0,0,0,0,0,0,0,0
1316278103,0,0,0,0,0,0,0,0
1316882903,1,0,0,0,1,0,0,0
1317487703,0,0,0,0,0,0,0,0
1318092503,0,0,0,0,0,0,0,0
1318697303,0,0,0,0,0,0,0,0
1319302103,0,0,0,0,0,0,0,0
1319906903,0,0,0,0,0,0,0,0
1320511703,0,0,0,0,0,0,0,0
1321116503,0,0,0,0,0,0,0,0
1321721303,0,0,0,0,0,0,0,0
1322326103,3,0,2,0,1,0,0,0
1322930903,1,0,0,0,1,0,0,0
1323535703,1,0,0,0,1,0,0,0
1324140503,0,0,0,0,0,0,0,0
1324745303,0,0,0,0,0,0,0,0
1325350103,0,0,0,0,0,0,0,0
1325954903,1,0,0,0,1,0,0,0
1326559703,0,0,0,0,0,0,0,0
1327164503,0,0,0,0,0,0,0,0
1327769303,0,0,0,0,0,0,0,0
1328374103,16,1,4,4,6,0,1,0
1328978903,1,0,0,0,1,0,0,0
1329583703,3,0,1,1,1,0,0,0
1330188503,1,0,0,0,0,0,1,0
1330793303,0,0,0,0,0,0,0,0
1331398103,0,0,0,0,0,0,0,0
